户型,信息,房名,地址,描述
3室2厅2卫,"['98㎡', '南']",滨江郦城,成都周边彭山剑南大道与樱花大道交汇处,"['南北通透', '厨卫全明', '主卧套房']"
3室2厅2卫,"['93.4㎡', '北', '高层(共33层)', '2019年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
3室2厅3卫,"['125.73㎡', '南', '共3层', '2018年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['119㎡', '东南']",洲际健康城(新房),温江温江城区海峡两岸科技园科兴路西段199号,['双卫生间']
3室2厅1卫,"['88.28㎡', '南', '低层(共33层)', '2016年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满二年', '近地铁', '车位充足']"
3室1厅2卫,"['97.3㎡', '南', '中层(共26层)', '2016年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['85.27㎡', '东', '高层(共33层)', '2018年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '有电梯', '近地铁', '车位充足']"
4室2厅3卫,"['143㎡', '南']",正成万柳墅院,温江万春镇万春镇天乡路一段与春光路交汇向西100米,"['大户型', '购物中心', '低容积']"
3室2厅2卫,"['94㎡', '南', '中层(共26层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['85.79㎡', '南', '高层(共28层)', '2016年建造']",蓝润锦江春天,锦江三圣乡椰树街300号,"['南', '热门小区', '满五', '房东急售']"
4室2厅3卫,"['98㎡', '南', '低层(共33层)', '2020年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['124㎡', '西', '低层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '房东直卖', '满二年', '近地铁']"
3室2厅2卫,"['109㎡', '南']",正成万柳墅院,温江万春镇万春镇天乡路一段与春光路交汇向西100米,"['南北通透', '厨卫全明', '大阳台', '购物中心']"
3室2厅2卫,"['117.94㎡', '东', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '满二年', '近地铁', '车位充足']"
4室2厅3卫,"['98.11㎡', '南北', '低层(共6层)', '2018年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['112㎡', '南', '中层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满二年', '近地铁', '车位充足']"
4室2厅2卫,"['131㎡', '西南']",尊邸(新房),锦江万达火车南站东路段15号（城南驿站旁）,"['厨卫全明', '双卫生间', '双阳台', '多轨交']"
3室2厅2卫,"['124㎡', '西', '高层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '唯一住房', '近地铁']"
3室2厅2卫,"['95㎡', '北']",格林铂雅云庭,锦江盐市口宝光大道北段36号,"['厨卫全明', '双阳台', '主卧套房', '购物中心']"
3室2厅2卫,"['118㎡', '西南', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西南', '满二年', '近地铁', '车位充足']"
4室2厅3卫,"['172㎡', '南北']",翡翠湾壹号,新津新津城区清源路188号,"['客餐厅相连', '南北通透', '双阳台', '购物中心']"
3室2厅2卫,"['118.85㎡', '南', '中层(共33层)', '2020年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['89.35㎡', '北', '高层(共33层)', '2019年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
2室2厅1卫,"['91.62㎡', '南', '高层(共31层)', '2007年建造']",天鹅湖北苑,"高新区世纪城世纪城路996号,天府大道中段177号","['南', '近地铁', '配套成熟']"
4室2厅2卫,"['106.38㎡', '南北', '低层(共32层)', '2022年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['95㎡', '南']",澜岸听溪,青白江青白江城区青华西路166号,"['双卫生间', '客餐厅相连', '主卧套房', '车位充足']"
3室2厅2卫,"['115.76㎡', '南', '低层(共32层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
5室3厅5卫,"['121.14㎡', '南北', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南北', '满五年', '近地铁', '次新房']"
4室2厅2卫,"['121.84㎡', '东', '低层(共32层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '房东直卖', '满二年', '近地铁']"
4室2厅4卫,"['137㎡', '南']",中铁黑龙滩国际旅游度假区,双流黄龙溪眉山市仁寿县光明大道与光相北路交汇处（黑龙滩镇中铁文化展示中心）,[]
4室2厅3卫,"['106.38㎡', '南北', '低层(共33层)', '2023年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['89.53㎡', '东', '低层(共22层)', '2016年建造']",东原时光道,青羊万家湾光华大道东四路78号,"['东', '热门小区', '近地铁', '配套成熟']"
3室2厅3卫,"['141.09㎡', '东南', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['东南', '唯一住房', '近地铁', '绿化率高']"
4室2厅3卫,"['125.73㎡', '南', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满二年', '近地铁', '次新房']"
4室2厅2卫,"['125㎡', '东南']",嘉裕第六洲林语台二期,崇州崇州城区崇阳大道3199号,"['南北通透', '厨卫全明', '双卫生间', '高绿化率']"
3室2厅2卫,"['98㎡', '南', '低层(共33层)', '2015年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['96.78㎡', '东', '高层(共30层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
3室2厅2卫,"['107.3㎡', '南北', '中层(共33层)', '2016年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '唯一住房', '近地铁', '绿化率高']"
3室2厅4卫,"['163㎡', '南']",中交凤凰华府,青白江凤凰新城凤福路66号,"['大户型', '车位充足']"
5室2厅2卫,"['122㎡', '西南', '低层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['85㎡', '南', '高层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满五年', '近地铁', '绿化率高']"
4室2厅2卫,"['121.31㎡', '南', '高层(共32层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满二年', '近地铁']"
3室2厅2卫,"['103㎡', '南']",中海云缦源境,天府新区西博城遂州路3010号（临）,[]
3室2厅2卫,"['101.34㎡', '西南', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西南', '满五年', '近地铁', '车位充足']"
2室2厅1卫,"['119㎡', '北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['北', '唯一住房', '近地铁', '绿化率高']"
2室2厅1卫,"['83.58㎡', '西南', '高层(共16层)', '2014年建造']",保利香槟国际,高新西区百草路天目路77号,"['西南', '热门小区', '近地铁', '价格优惠']"
3室2厅2卫,"['117.36㎡', '南北', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅1卫,"['74.39㎡', '南']",水岸雅居(新房),龙泉驿航天片区柏学中路666号,"['南北通透', '厨卫全明', '双阳台']"
3室2厅2卫,"['106.38㎡', '南', '高层(共33层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅1卫,"['100.65㎡', '东', '高层(共7层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['126㎡', '西北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西北', '唯一住房', '近地铁', '绿化率高']"
4室2厅2卫,"['116.99㎡', '东']",嘉祥瑞庭熙岸(新房),郫都团结文影路89号,"['客餐厅相连', '主卧套房', '私密性好', '车位充足']"
3室2厅2卫,"['115.76㎡', '南北', '低层(共32层)', '2021年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '房东直卖', '满五年', '近地铁']"
3室2厅1卫,"['92.12㎡', '南', '中层(共32层)', '2013年建造']",中环西岸观邸,"金牛国宾金瑞路118号,金耀路47号","['南', '热门小区', '近地铁', '价格优惠']"
3室2厅2卫,"['88.16㎡', '东', '低层(共30层)', '2012年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '满二年', '近地铁']"
3室2厅2卫,"['102㎡', '南', '低层(共26层)', '2016年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满二年', '近地铁', '车位充足']"
4室2厅2卫,"['142㎡', '东南']",中绿园领秀金沙,青羊外光华清百路555号,"['南北通透', '厨卫全明', '主卧套房', '轨交房']"
3室2厅1卫,"['101.32㎡', '南', '中层(共7层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['104㎡', '南', '低层(共32层)', '2018年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['103.15㎡', '东', '高层(共33层)', '2012年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
4室3厅2卫,"['211㎡', '南']",珠江铂世湾,温江光华大道同兴东路899号,"['南北通透', '厨卫全明', '双阳台', '轨交房']"
4室2厅2卫,"['133㎡', '东', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['东', '满二年', '近地铁']"
3室2厅2卫,"['131㎡', '北', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['北', '满二年', '近地铁']"
3室2厅2卫,"['82.39㎡', '东南', '低层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['东南', '房东直卖', '满五年', '近地铁']"
4室2厅3卫,"['139㎡', '南北']",嘉禾凤栖和鸣,温江金马镇凤栖湖北路799号,"['大户型', '购物中心', '低容积']"
3室2厅2卫,"['128.33㎡', '南', '中层(共17层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['114㎡', '西', '高层(共33层)', '2021年建造']",远大中央公园,天府新区南湖南湖大道333号,"['西', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['114.38㎡', '南北', '中层(共11层)', '2006年建造']",万科魅力之城(一期),成华成渝立交万科北街2号,"['经纪人力荐', '近地铁', '南北通透', '价格优惠']"
3室2厅2卫,"['141.11㎡', '南', '中层(共25层)', '2021年建造']",王府井商务公寓,"锦江春熙路总府街15号,华兴正街9号","['南', '满五年', '近地铁', '次新房']"
4室2厅2卫,"['128㎡', '东']",星河WORLD九墅,温江光华大道柳林南路269号,"['私密性好', '主卧套房', '厨卫全明', '多轨交']"
4室2厅3卫,"['129.99㎡', '南', '共5层', '2023年建造']",青秀未遮山(一期),成华八里小区八里庄路69号,"['南', '满二年', '近地铁', '次新房']"
4室2厅2卫,"['146.96㎡', '南北', '中层(共27层)', '2023年建造']",雪松雅居乐IN天府,"成华火车东站峨眉山路999号,白龙江路299号","['南北', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['113.97㎡', '南北', '高层(共11层)', '2016年建造']",钱江美域,都江堰都江堰城区文荟路1188号,"['南北', '有电梯', '车位充足']"
4室2厅2卫,"['141㎡', '南']",星河WORLD九墅,温江光华大道柳林南路269号,"['客餐厅相连', '私密性好', '主卧套房', '多轨交']"
4室2厅2卫,"['124.12㎡', '南', '低层(共31层)', '2019年建造']",北星城,金牛天回镇天龙南一路118号,"['南', '近地铁', '绿化率高']"
4室2厅2卫,"['135.2㎡', '北', '高层(共32层)', '2021年建造']",金隅上城郡,新都大丰蚕丛路181号,"['北', '近地铁', '优势户型', '随时可看']"
4室2厅2卫,"['143.47㎡', '东南', '中层(共32层)', '2020年建造']",恒大天府城邦(七期),新津新津城区新普路,"['东南', '满二年', '次新房']"
3室2厅1卫,"['97.53㎡', '南', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['118㎡', '南']",领地悦音阁,新都新都新城区育英路561号,"['客餐厅相连', '主卧套房', '厨卫全明', '购物中心']"
4室2厅2卫,"['136.29㎡', '南', '中层(共32层)', '2012年建造']",保利心语上府,高新区大源富华南路1606号,"['南', '近地铁']"
4室2厅2卫,"['137.12㎡', '西', '中层(共13层)', '2020年建造']",金科博翠粼湖,双流棠湖金河路三段95号,"['西', '满二年', '车位充足']"
3室2厅2卫,"['140.93㎡', '南', '中层(共25层)', '2019年建造']",王府井商务公寓,"锦江春熙路总府街15号,华兴正街9号","['南', '满五年', '近地铁', '多人关注']"
4室2厅3卫,"['143㎡', '南北']",嘉禾滨湖颂,双流华府怡心街道剑和路二段299号,"['南北通透', '厨卫全明', '主卧套房', '轨交房']"
3室2厅2卫,"['81.05㎡', '南北', '中层(共31层)', '2016年建造']",滨江和城,天府新区海洋公园万东路80号附1号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['119.4㎡', '南北', '低层(共23层)', '2023年建造']",叠香庄园悦府,新都新都新城区学院路东段600号,"['南北', '唯一住房', '近地铁', '车位充足']"
3室2厅1卫,"['116.28㎡', '南北', '高层(共32层)', '2012年建造']",保利心语观园国际,高新区大源富华南路1700号,"['南北', '满五年', '近地铁']"
4室2厅2卫,"['116㎡', '南']",深业和郡(新房),青白江凤凰新城凤祥大道2966号,"['大阳台', '主卧套房', '客餐厅相连', '车位充足']"
3室2厅2卫,"['98㎡', '南']",滨江郦城,成都周边彭山剑南大道与樱花大道交汇处,"['南北通透', '厨卫全明', '主卧套房']"
3室2厅3卫,"['125.73㎡', '南', '共3层', '2018年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['93.4㎡', '北', '高层(共33层)', '2019年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['94㎡', '南', '中层(共26层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['88.28㎡', '南', '低层(共33层)', '2016年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['117.94㎡', '东', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['112㎡', '南', '中层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅3卫,"['141.09㎡', '东南', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['东南', '唯一住房', '近地铁', '绿化率高']"
4室2厅3卫,"['106.38㎡', '南北', '低层(共33层)', '2023年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['118㎡', '西南', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西南', '满二年', '近地铁', '车位充足']"
4室2厅3卫,"['98.11㎡', '南北', '低层(共6层)', '2018年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南北', '满五年', '近地铁', '车位充足']"
3室1厅2卫,"['97.3㎡', '南', '中层(共26层)', '2016年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满五年', '近地铁', '车位充足']"
4室2厅3卫,"['98㎡', '南', '低层(共33层)', '2020年建造']",中信城左岸,天府新区南湖美岸路一段66号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['98㎡', '南', '低层(共33层)', '2015年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅1卫,"['85.27㎡', '东', '高层(共33层)', '2018年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '有电梯', '近地铁', '车位充足']"
4室2厅2卫,"['106.38㎡', '南北', '低层(共32层)', '2022年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['101.34㎡', '西南', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西南', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['102.39㎡', '南', '中层(共32层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
4室2厅2卫,"['128.86㎡', '南', '低层(共34层)', '2015年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '唯一住房', '近地铁']"
3室2厅2卫,"['87.35㎡', '南', '中层(共33层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满五年', '近地铁', '户型方正']"
2室2厅1卫,"['81.63㎡', '北', '低层(共33层)', '2017年建造']",远大中央公园,天府新区南湖南湖大道333号,"['北', '满五年', '近地铁', '绿化率高']"
3室2厅1卫,"['85.86㎡', '南', '中层(共33层)', '2017年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
2室2厅2卫,"['84㎡', '南']",澳洲湾(新房),新都三河兴城大道533号,"['南北通透', '厨卫全明', '双阳台', '轨交房']"
5室3厅5卫,"['121.14㎡', '南北', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅2卫,"['115.76㎡', '南', '低层(共32层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['124㎡', '西', '低层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '房东直卖', '满二年', '近地铁']"
3室2厅2卫,"['96.78㎡', '东', '高层(共30层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
3室2厅2卫,"['85㎡', '南', '高层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满五年', '近地铁', '绿化率高']"
4室2厅3卫,"['125.73㎡', '南', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满二年', '近地铁', '次新房']"
3室2厅1卫,"['89.35㎡', '北', '高层(共33层)', '2019年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
4室2厅2卫,"['121.31㎡', '南', '高层(共32层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满二年', '近地铁']"
3室2厅1卫,"['85.3㎡', '北', '中层(共33层)', '2016年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['110.98㎡', '西', '低层(共33层)', '2016年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西', '满二年', '近地铁', '车位充足']"
4室2厅2卫,"['133㎡', '东', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['东', '满二年', '近地铁']"
3室2厅1卫,"['97㎡', '东', '高层(共32层)', '2018年建造']",远大中央公园,天府新区南湖南湖大道333号,"['东', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['111.4㎡', '西北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西北', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['117.04㎡', '西', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '满五年', '近地铁']"
3室2厅1卫,"['101.32㎡', '南', '中层(共7层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满五年', '近地铁', '户型方正']"
4室2厅2卫,"['133.87㎡', '西', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '满二年', '近地铁']"
3室2厅2卫,"['114㎡', '南', '低层(共33层)', '2021年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
2室2厅2卫,"['74.34㎡', '南', '低层(共52层)', '2024年建造']",恒大广场,青羊天府广场提督街99号,"['南', '满五年', '近地铁', '车位充足']"
4室2厅2卫,"['121.84㎡', '东', '低层(共32层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '房东直卖', '满二年', '近地铁']"
3室2厅2卫,"['107.91㎡', '南', '中层(共32层)', '2020年建造']",恒大御府1期,新都宝光寺运力路197号,"['南', '满五年', '车位充足']"
4室2厅3卫,"['129.99㎡', '南', '共5层', '2023年建造']",青秀未遮山(一期),成华八里小区八里庄路69号,"['南', '满二年', '近地铁', '次新房']"
3室2厅1卫,"['95.37㎡', '南北', '中层(共24层)', '2014年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['83㎡', '西北', '中层(共39层)', '2016年建造']",汇融广场B区,新都大丰金源街18号,"['西北', '满五年', '近地铁', '车位充足']"
